scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps,lookahead_reference_value,lookahead_gap
moderate,random,20310717,44.800000000000004,44.800000000000004,0.7289107519850945,0.8582375478927203,0.8571428571428571,0.9285714285714286,27.9464916229248,20.884909116304836,2.100659857404993,1.0,0.0,13.0,14.0,54.0,0.0,0.0
moderate,edf,20310717,52.20000000000001,52.20000000000001,0.817140611372536,1.0000000000000002,1.0,1.0,26.637229728698728,19.485423224312918,1.8831421534220378,0.0,0.0,14.0,14.0,57.0,0.0,0.0
moderate,online_greedy,20310717,52.20000000000001,52.20000000000001,0.798067533617841,1.0000000000000002,1.0,1.0,27.633223915100096,19.08805206843785,1.753481995825674,0.0,0.0,14.0,14.0,58.0,0.0,0.0
moderate,dag_oracle_greedy,20310717,52.20000000000001,52.20000000000001,0.7861781410150585,1.0000000000000002,1.0,1.0,29.343060874938963,21.61639962877546,2.288377462648878,0.0,0.0,14.0,14.0,54.0,0.0,0.0
moderate,vanilla_a2c,20310717,48.70000000000001,48.70000000000001,0.7593779642247844,0.9329501915708813,0.9285714285714286,0.9285714285714286,25.676023101806642,17.775022946871243,1.4878487079701526,0.0,1.0,14.0,14.0,63.0,0.0,0.0
moderate,wpr_no_progress,20310717,48.10000000000001,48.10000000000001,0.7954086674878762,0.9214559386973181,0.9285714285714286,0.9285714285714286,25.963807678222647,19.43315579341008,1.7956688950459163,1.0,0.0,13.0,14.0,48.0,0.0,0.0
moderate,wpr_no_demand,20310717,52.20000000000001,52.20000000000001,0.7868395409623401,1.0000000000000002,1.0,1.0,24.97250099182129,19.09636947086879,1.7116450515447879,0.0,0.0,14.0,14.0,53.0,0.0,0.0
moderate,wpr_no_residency,20310717,52.20000000000001,52.20000000000001,0.804760500574796,1.0000000000000002,1.0,1.0,26.541959953308105,18.92335605621338,1.7262660568835688,0.0,0.0,14.0,14.0,57.0,0.0,0.0
moderate,wpr_fixed_gamma,20310717,49.00000000000001,49.00000000000001,0.7220482249851978,0.9386973180076629,0.9285714285714286,0.9285714285714286,27.29201011657714,20.21692364032452,1.7138952701649768,0.0,1.0,14.0,14.0,52.0,0.0,0.0
moderate,wpr_no_shaping,20310717,30.699999999999996,30.699999999999996,0.48399063730983694,0.5881226053639845,0.5714285714285714,0.6428571428571429,26.906617736816408,20.89840104844835,1.992427622570711,2.0,3.0,12.0,14.0,52.0,0.0,0.0
moderate,wpr_with_wait,20310717,52.20000000000001,52.20000000000001,0.8085420122965044,1.0000000000000002,1.0,1.0,29.519353294372557,18.566641535077775,1.62452499071757,0.0,0.0,14.0,14.0,57.0,0.0,0.0
moderate,wpr_a2c,20310717,52.20000000000001,52.20000000000001,0.7830621717352361,1.0000000000000002,1.0,1.0,27.80816020965576,18.433990206037247,1.6646645115871055,0.0,0.0,14.0,14.0,63.0,0.0,0.0
moderate,random,20310817,51.50000000000001,51.50000000000001,0.6290247897311431,0.9363636363636365,0.9285714285714286,0.9285714285714286,27.95560417175293,21.143120472247784,2.0049955741218897,0.0,1.0,14.0,14.0,65.0,0.0,0.0
