scenario,policy,seed,weighted_completed_value,weighted_goodput,weighted_goodput_rate,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,avg_ready_wait,rejected,dropped,admitted,arrived,steps
trace_driven,random,20310719,16.8,16.8,0.8076324191552584,0.033734939759036145,0.03333333333333333,0.05,17.23765754699707,13.424001852671305,1.7773514688014984,111.0,3.0,9.0,120.0,44.0
trace_driven,edf,20310719,33.6,33.6,1.9276806683812098,0.06746987951807229,0.06666666666666667,0.075,15.267537879943847,12.329968134562174,1.789265051484108,111.0,0.0,9.0,120.0,43.0
trace_driven,online_greedy,20310719,37.800000000000004,37.800000000000004,2.341064497966638,0.07590361445783134,0.075,0.075,14.985250663757324,13.11433548397488,1.996662512421608,111.0,0.0,9.0,120.0,36.0
trace_driven,dag_oracle_greedy,20310719,42.00000000000001,42.00000000000001,2.1474099102740065,0.08433734939759037,0.08333333333333333,0.08333333333333333,15.068619966506956,12.813297748565674,1.8974127426743508,110.0,0.0,10.0,120.0,38.0
trace_driven,vanilla_a2c,20310719,21.0,21.0,1.103314227014191,0.04216867469879518,0.041666666666666664,0.058333333333333334,16.962569999694825,13.086659022739955,1.8226541408470698,110.0,3.0,10.0,120.0,44.0
trace_driven,wpr_no_progress,20310719,29.4,29.4,1.4374676133519322,0.05903614457831325,0.058333333333333334,0.075,16.86899604797363,11.505625618828667,1.4811219506793551,110.0,1.0,10.0,120.0,38.0
trace_driven,wpr_no_demand,20310719,21.0,21.0,0.964608767308291,0.04216867469879518,0.041666666666666664,0.041666666666666664,12.108526611328125,9.853048706054688,0.9381566733121872,110.0,5.0,10.0,120.0,43.0
trace_driven,wpr_no_residency,20310719,25.2,25.2,1.3196607014447512,0.05060240963855422,0.05,0.075,16.83561553955078,11.36155038409763,1.5037139405806859,110.0,1.0,10.0,120.0,37.0
trace_driven,wpr_no_shaping,20310719,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,16.384428024291992,16.384428024291992,2.389862537384033,112.0,7.0,8.0,120.0,47.0
trace_driven,wpr_a2c,20310719,42.00000000000001,42.00000000000001,2.531289082885034,0.08433734939759037,0.08333333333333333,0.08333333333333333,15.13312759399414,13.301732921600342,2.0915989354252815,110.0,0.0,10.0,120.0,38.0
trace_driven,random,20310819,21.0,21.0,1.1643158019116906,0.04216867469879518,0.041666666666666664,0.06666666666666667,16.683766174316407,13.635403156280518,1.8899256959557533,111.0,1.0,9.0,120.0,35.0
trace_driven,edf,20310819,33.6,33.6,1.9169146550769613,0.06746987951807229,0.06666666666666667,0.075,15.58017349243164,12.79852490954929,1.9314104384846158,111.0,0.0,9.0,120.0,45.0
trace_driven,online_greedy,20310819,33.6,33.6,2.041780453946135,0.06746987951807229,0.06666666666666667,0.075,15.30610008239746,13.004185888502333,1.9828851421674092,111.0,0.0,9.0,120.0,34.0
trace_driven,dag_oracle_greedy,20310819,37.800000000000004,37.800000000000004,2.3449023456224865,0.07590361445783134,0.075,0.075,14.521152305603028,13.565397368537056,2.1683578309085636,111.0,0.0,9.0,120.0,34.0
trace_driven,vanilla_a2c,20310819,21.0,21.0,1.00858849284326,0.04216867469879518,0.041666666666666664,0.041666666666666664,13.717168807983398,12.465412902832032,1.5264301002025604,110.0,5.0,10.0,120.0,57.0
trace_driven,wpr_no_progress,20310819,25.2,25.2,1.326479924363947,0.05060240963855422,0.05,0.06666666666666667,16.442646026611328,10.873211562633514,1.3345579206943512,110.0,2.0,10.0,120.0,36.0
trace_driven,wpr_no_demand,20310819,21.0,21.0,1.0416262436087909,0.04216867469879518,0.041666666666666664,0.05,15.663510799407959,11.936585267384848,1.50760834167401,111.0,3.0,9.0,120.0,35.0
trace_driven,wpr_no_residency,20310819,25.2,25.2,1.3435110905471792,0.05060240963855422,0.05,0.06666666666666667,16.39975142478943,11.299119234085083,1.4560704417526722,110.0,2.0,10.0,120.0,37.0
trace_driven,wpr_no_shaping,20310819,4.2,4.2,0.17964032058102442,0.008433734939759036,0.008333333333333333,0.008333333333333333,15.429548263549805,15.429548263549805,2.185714602470398,112.0,7.0,8.0,120.0,49.0
trace_driven,wpr_a2c,20310819,33.6,33.6,2.0171665543604913,0.06746987951807229,0.06666666666666667,0.075,15.698921203613281,13.474782096015083,2.141452353861597,111.0,0.0,9.0,120.0,40.0
trace_driven,random,20310919,25.2,25.2,1.3129595312928704,0.05060240963855422,0.05,0.06666666666666667,16.96041498184204,12.372453391551971,1.681975219398737,110.0,2.0,10.0,120.0,38.0
trace_driven,edf,20310919,37.800000000000004,37.800000000000004,2.0304894979273325,0.07590361445783134,0.075,0.08333333333333333,15.81782522201538,13.05430736541748,2.0201015949249266,110.0,0.0,10.0,120.0,47.0
trace_driven,online_greedy,20310919,42.00000000000001,42.00000000000001,2.315470337803137,0.08433734939759037,0.08333333333333333,0.08333333333333333,15.484389162063598,13.602388858795166,2.1585664987564086,110.0,0.0,10.0,120.0,42.0
trace_driven,dag_oracle_greedy,20310919,37.800000000000004,37.800000000000004,1.8998880946673722,0.07590361445783134,0.075,0.08333333333333333,15.159256172180173,12.946305179595948,1.9628806084394455,110.0,0.0,10.0,120.0,38.0
trace_driven,vanilla_a2c,20310919,21.0,21.0,1.0007840521362172,0.04216867469879518,0.041666666666666664,0.041666666666666664,14.119649124145507,12.461332511901855,1.5715506076812744,110.0,5.0,10.0,120.0,57.0
